Model	Fiyat	Yil	Motor-Hacmi	Kilometre	Yakit	Seri	Kimden	Marka	Takasa-Uygun	Boya-Degisen	Vites-Tipi	Ilan-Tarihi	Ilan-No	Mekan
1.4 Comfortline	 28.750 TL 	2001	1390 cc	171.000 km	LPG & Benzin	Polo	Sahibinden	Volkswagen	Takasa Uygun Değil	12 boyalı	Düz	14 Eylül 2019	12265603	MANİSA / TURGUTLU / SELVİLİTEPE OSB MAHALLESİ	
1.5 dCi Stepway	 64.250 TL 	2015	1461 cc	31.350 km	Dizel	Sandero	Sahibinden	Dacia	Takasa Uygun Değil	1 değişen	Düz	13 Eylül 2019	12263973	İSTANBUL / KAĞITHANE / ŞİRİNTEPE MAHALLESİ	
1.5 TDCi Trend X	 111.500 TL 	2018	1401 - 1600 cm3	65.000 km	Dizel	Focus	Galeriden	Ford	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12264807	ANTALYA / KEPEZ / ALTINOVA DÜDEN MAHALLESİ	
1.4 TDI Style	 99.900 TL 	2017	1422 cc	40.000 km	Dizel	Toledo	Galeriden	Seat	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	14 Eylül 2019	12265552	ANKARA / YENİMAHALLE / MACUN MAHALLESİ	
A3 Sportback 1.6 Ambiente	 34.000 TL 	2000	1595 cc	199.000 km	LPG & Benzin	A3	Galeriden	Audi	Takasa Uygun	Belirtilmemiş	Otomatik	12 Eylül 2019	9444338	DENİZLİ / SARAYKÖY / CUMHURİYET MAHALLESİ	
1.5 TDCi Titanium	 101.900 TL 	2018	1401 - 1600 cm3	26.500 km	Dizel	Fiesta	Galeriden	Ford	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	11827265	KOCAELİ / GEBZE / KÖŞKLÜ ÇEŞME MAHALLESİ	
1.5 dCi Mood	 32.500 TL 	2006	1461 cc	170.000 km	Dizel	Micra	Galeriden	Nissan	Takasa Uygun Değil	12 boyalı	Düz	10 Eylül 2019	12233316	DİYARBAKIR / YENİŞEHİR / FABRİKA MAHALLESİ	
1.6 Collection Plus	 39.999 TL 	2004	1595 cc	260.000 km	Benzin	Octavia	Galeriden	Skoda	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	11316065	KONYA / KARATAY / FEVZİÇAKMAK MAHALLESİ	
1.6 GLS	 22.750 TL 	1998	1401 - 1600 cm3	230.000 km	Benzin	Astra	Galeriden	Opel	Takasa Uygun	Belirtilmemiş	Otomatik	10 Eylül 2019	12089070	KONYA / KARATAY / FEVZİÇAKMAK MAHALLESİ	
1.4 D-4D Comfort Extra	 76.000 TL 	2011	100.000 km	Dizel	Corolla	Sahibinden	Toyota	Takasa Uygun Değil	Tamamı orjinal	Düz	14 Eylül 2019	12265500	ŞANLIURFA / AKÇAKALE / BOLATLAR MAHALLESİ	
1.4 XR	 31.750 TL 	2002	1360 cc	135.000 km	Benzin	206	Galeriden	Peugeot	Takasa Uygun	Belirtilmemiş	Otomatik	14 Eylül 2019	12265526	ANKARA / AKYURT / SARACALAR MAHALLESİ	
1.6 TDCi Journey Trend	 69.250 TL 	2016	116.000 km	Dizel	Tourneo Courier	Galeriden	Ford	4x2 (Arkadan İtişli)	Belirtilmemiş	Düz	13 Eylül 2019	Takasa Uygun	12263650	ANTALYA / KEPEZ / YENİ DOĞAN MAHALLESİ	
1.6 SX	 16.000 TL 	1998	1598 cc	160.000 km	LPG & Benzin	Lanos	Sahibinden	Daewoo	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12264397	ADANA / POZANTI / İSTİKLAL MAHALLESİ	
1.6 i-VTEC Executive	 98.000 TL 	2017	1597 cc	62.000 km	Benzin	Civic	Sahibinden	Honda	Takasa Uygun	1 boyalı	Otomatik	14 Eylül 2019	12264586	BAYBURT / MERKEZ / GENÇOSMAN MAHALLESİ	
1.4 TSI FR	 126.000 TL 	2018	1395 cc	23.000 km	Benzin	Leon	Sahibinden	Seat	Takasa Uygun Değil	Tamamı orjinal	Düz	14 Eylül 2019	12264631	İSTANBUL / GAZİOSMANPAŞA / KARAYOLLARI MAHALLESİ	
1.4 HDi Feline	 27.900 TL 	2006	1398 cc	193.470 km	Dizel	206	Galeriden	Peugeot	Takasa Uygun Değil	2 değişen, 8 boyalı	Düz	13 Eylül 2019	12264686	İZMİR / GAZİEMİR / MERKEZ	
1.6 Ghia	 26.500 TL 	2000	1596 cc	313.000 km	Benzin	Focus	Galeriden	Ford	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12264014	ANKARA / AKYURT / SARACALAR MAHALLESİ	
1.5 dCi Icon	 220.000 TL 	2018	1461 cc	1.950 km	Dizel	Megane	Galeriden	Renault	Takasa Uygun Değil	Tamamı orjinal	Yarı Otomatik	14 Eylül 2019	10662967	ELAZIĞ / MERKEZ / AKÇAKİRAZ BELDESİ (YÜZBAŞI MAHALLESİ)	
1.5 TDCi Trend X	 62.000 TL 	2016	1498 cc	98.000 km	Dizel	Fiesta	Sahibinden	Ford	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12264471	AYDIN / KUŞADASI / DAĞ MAHALLESİ	
1.6 TDI Prestige	 134.900 TL 	2016	1401 - 1600 cm3	172.000 km	Dizel	SuperB	Galeriden	Skoda	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	10 Eylül 2019	12238552	İSTANBUL / BAĞCILAR / GÖZTEPE MAHALLESİ	
1.3 Multijet Easy	 69.750 TL 	2017	1201 - 1400 cm3	81.000 km	Dizel	Egea	Galeriden	Fiat	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12265322	İSTANBUL / MALTEPE / BAĞLARBAŞI MAHALLESİ	
200 Classic	 54.000 TL 	1996	1801 - 2000 cm3	198.000 km	Benzin	E	Galeriden	Mercedes - Benz	Takasa Uygun	Belirtilmemiş	Otomatik	14 Eylül 2019	12265623	NİĞDE / BOR / CIĞIZOĞLU OSMAN EFENDİ MAHALLESİ	
1.4 TDi Comfortline	 65.500 TL 	2016	1422 cc	145.000 km	Dizel	Polo	Galeriden	Volkswagen	Takasa Uygun	1 boyalı	Yarı Otomatik	14 Eylül 2019	12189702	İSTANBUL / ESENLER / YAVUZ SELİM MAHALLESİ	
F430	 720.000 TL 	2007	4308 cc	30.000 km	Benzin	430	Galeriden	Ferrari	Takasa Uygun	Belirtilmemiş	Otomatik	07 Eylül 2019	12218476	ANKARA / AKYURT / SARACALAR MAHALLESİ	
2.2 Elegance	 39.750 TL 	2002	2198 cc	147.000 km	LPG & Benzin	Vectra	Sahibinden	Opel	Takasa Uygun	Belirtilmemiş	Otomatik	14 Eylül 2019	12264407	ANKARA / MAMAK / KUTLU MAHALLESİ	
1.6 Coupe	 119.000 TL 	2012	1401 - 1600 cm3	78.000 km	Benzin	Cooper S	Galeriden	MINI	Takasa Uygun	1 değişen, 1 boyalı	Yarı Otomatik	13 Eylül 2019	12264180	ANTALYA / MURATPAŞA / YEŞİLBAHÇE MAHALLESİ	
1.6 GL	 30.850 TL 	1999	1401 - 1600 cm3	234.000 km	Benzin	Astra	Galeriden	Opel	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12264535	İSTANBUL / BAHÇELİEVLER / BAHÇELİEVLER MAHALLESİ	
1.5 dCi Dynamique	 40.000 TL 	2006	1461 cc	320.000 km	Dizel	Megane	Galeriden	Renault	Takasa Uygun Değil	Belirtilmemiş	Düz	10 Eylül 2019	12217719	BURDUR / GÖLHİSAR / ÇEŞME MAHALLESİ	
1.4 GLS	 28.500 TL 	1999	1389 cc	195.000 km	LPG & Benzin	Corsa	Sahibinden	Opel	Takasa Uygun Değil	1 boyalı	Düz	14 Eylül 2019	12264795	KOCAELİ / İZMİT / KARADENİZLİLER MAHALLESİ	
1.4 Rapsodie	 14.750 TL 	2004	1390 cc	351.000 km	Benzin	Solenza	Galeriden	Dacia	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265641	ANKARA / AKYURT / SARACALAR MAHALLESİ	
1.6 Liberty	 25.750 TL 	2004	1596 cc	198.000 km	Benzin	Marea	Galeriden	Fiat	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265494	KAYSERİ / KOCASİNAN / YILDIZEVLER MAHALLESİ	
1.33 Life	 82.950 TL 	2017	1329 cc	38.000 km	LPG & Benzin	Corolla	Sahibinden	Toyota	Takasa Uygun Değil	Tamamı orjinal	Düz	14 Eylül 2019	12265705	HATAY / KIRIKHAN / CUMHURİYET MAHALLESİ	
1.6 LT Plus	 46.900 TL 	2011	1598 cc	82.000 km	Benzin	Cruze	Galeriden	Chevrolet	Takasa Uygun Değil	2 değişen, 2 boyalı	Otomatik	13 Eylül 2019	12265166	ANKARA / AKYURT / SARACALAR MAHALLESİ	
Fiorino Panorama 1.3 Multijet Pop	 55.750 TL 	2016	128.000 km	Dizel	Fiorino	Galeriden	Fiat	4x2 (Arkadan İtişli)	Belirtilmemiş	Düz	13 Eylül 2019	Takasa Uygun	12264893	ANTALYA / KEPEZ / ALTINOVA DÜDEN MAHALLESİ	
1.4 Primeline	 33.500 TL 	2002	1390 cc	167.000 km	Benzin	Polo	Sahibinden	Volkswagen	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12265397	İSTANBUL / BAĞCILAR / KAZIMKARABEKİR MAHALLESİ	
1.3 Multijet Easy	 49.500 TL 	2014	1248 cc	200.000 km	Dizel	Linea	Galeriden	Fiat	Takasa Uygun	Tamamı orjinal	Düz	12 Eylül 2019	12014924	AFYONKARAHİSAR / BOLVADİN / BAĞLARBAŞI MAHALLESİ	
1.6 Dynamic	 30.900 TL 	2005	1598 cc	250.000 km	Benzin	3	Galeriden	Mazda	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12264549	ANTALYA / MURATPAŞA / ETİLER MAHALLESİ	
1.2 D-CVVT Jump	 47.000 TL 	2012	1248 cc	160.000 km	LPG & Benzin	i20	Sahibinden	Hyundai	Takasa Uygun Değil	Belirtilmemiş	Düz	13 Eylül 2019	12263601	SAKARYA / HENDEK / YENİ MAHALLESİ	
1.6 FSi Comfortline	 41.750 TL 	2005	1401 - 1600 cm3	260.000 km	Benzin	Golf	Galeriden	Volkswagen	Takasa Uygun	Belirtilmemiş	Otomatik	13 Eylül 2019	12264525	İSTANBUL / BAHÇELİEVLER / BAHÇELİEVLER MAHALLESİ	
1.6 Comfort	 40.250 TL 	2004	1598 cc	169.000 km	Benzin	Vectra	Galeriden	Opel	Takasa Uygun Değil	Belirtilmemiş	Düz	04 Eylül 2019	12188843	AFYONKARAHİSAR / MERKEZ / DUMLUPINAR MAHALLESİ	
1.4 Trendy	 41.000 TL 	2008	1360 cc	119.000 km	Benzin	207	Sahibinden	Peugeot	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12265221	ESKİŞEHİR / ODUNPAZARI / OSMANGAZİ MAHALLESİ	
1.6 TDI Optimal	 104.500 TL 	2016	1598 cc	109.000 km	Dizel	Octavia	Galeriden	Skoda	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12264735	ANTALYA / KEPEZ / ALTINOVA DÜDEN MAHALLESİ	
1.4 Comfortline	 28.200 TL 	2000	1390 cc	217.000 km	LPG & Benzin	Polo	Sahibinden	Volkswagen	Takasa Uygun Değil	10 boyalı	Düz	14 Eylül 2019	12264971	ŞIRNAK / SİLOPİ / BAŞAK MAHALLESİ	
1.0 Trendline	 58.900 TL 	2016	999 cc	83.000 km	Benzin	Polo	Galeriden	Volkswagen	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265680	BALIKESİR / KARESİ / KUVA-İ MİLLİYE MAHALLESİ	
1.2 DOHC Team	 43.500 TL 	2012	1248 cc	63.935 km	Benzin	i20 Troy	Sahibinden	Hyundai	Takasa Uygun Değil	1 boyalı	Düz	14 Eylül 2019	12264243	İSTANBUL / GAZİOSMANPAŞA / BAĞLARBAŞI MAHALLESİ	
1.4 TDi Comfortline	 69.000 TL 	2015	1422 cc	63.000 km	Dizel	Polo	Sahibinden	Volkswagen	Takasa Uygun Değil	2 değişen	Düz	14 Eylül 2019	12265661	BURSA / YILDIRIM / CUMALIKIZIK MAHALLESİ	
1.3 CDTI Enjoy 111.Yıl	 52.750 TL 	2012	1248 cc	220.400 km	Dizel	Astra	Galeriden	Opel	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12265067	SAKARYA / ERENLER / BAĞLAR MAHALLESİ	
Toros	 15.000 TL 	1990	1397 cc	93.000 km	Benzin	R 12	Galeriden	Renault	Takasa Uygun Değil	Belirtilmemiş	Düz	03 Eylül 2019	12191262	ELAZIĞ / MERKEZ / ATAŞEHİR MAHALLESİ	
1.5 TDCi Trend X	 85.999 TL 	2015	1401 - 1600 cm3	140.000 km	Dizel	Focus	Galeriden	Ford	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	14 Eylül 2019	12265581	ŞANLIURFA / HALİLİYE / PAŞABAĞI MAHALLESİ	
1.3 CDTI Essentia	 34.750 TL 	2008	1248 cc	172.000 km	Dizel	Corsa	Galeriden	Opel	Takasa Uygun Değil	12 boyalı	Düz	12 Eylül 2019	11905141	KİLİS / MERKEZ / ŞEHİT SAKIP MAHALLESİ	
1.4 CRDi Style	 78.000 TL 	2017	1396 cc	91.625 km	Dizel	i20	Yetkili Bayiden	Hyundai	Takasa Uygun	1 boyalı	Düz	13 Eylül 2019	12263771	İSTANBUL / ESENLER / TUNA MAHALLESİ	
1.9 TDi Primeline	 36.250 TL 	2007	1896 cc	318.000 km	Dizel	Jetta	Galeriden	Volkswagen	Takasa Uygun	Belirtilmemiş	Düz	12 Eylül 2019	12252624	ANTALYA / KEPEZ / HÜSNÜ KARAKAŞ MAHALLESİ	
1.4 D-CVVT Mode Plus	 69.000 TL 	2017	1368 cc	102.000 km	Benzin	Accent Blue	Galeriden	Hyundai	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12265232	DÜZCE / MERKEZ / AZİZİYE MAHALLESİ	
A 180 CDI BlueEFFICIENCY AMG WhiteArt	 160.000 TL 	2015	1401 - 1600 cm3	73.000 km	Dizel	A	Galeriden	Mercedes - Benz	Takasa Uygun	1 boyalı	Yarı Otomatik	14 Eylül 2019	12265414	ANKARA / AKYURT / SARACALAR MAHALLESİ	
350 350 L BlueTEC	 665.000 TL 	2013	2501 - 3000 cm3	111.000 km	Dizel	S	Galeriden	Mercedes - Benz	Takasa Uygun	Belirtilmemiş	Otomatik	13 Eylül 2019	12264157	ANTALYA / MURATPAŞA / YEŞİLBAHÇE MAHALLESİ	
1.6 TDi BlueMotion Comfortline	 165.750 TL 	2015	1401 - 1600 cm3	96.000 km	Dizel	Passat	Galeriden	Volkswagen	Takasa Uygun Değil	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12263597	GAZİANTEP / ŞEHİTKAMİL / AYDINLAR MAHALLESİ	
1.5 Invite	 41.500 TL 	2011	1499 cc	243.000 km	LPG & Benzin	Lancer	Sahibinden	Mitsubishi	Takasa Uygun Değil	2 değişen, 3 boyalı	Düz	14 Eylül 2019	12264352	BURSA / İNEGÖL / MAHMUDİYE MAHALLESİ	
1.6 LS	 58.000 TL 	2011	1598 cc	110.000 km	LPG & Benzin	Cruze	Sahibinden	Chevrolet	Takasa Uygun Değil	Belirtilmemiş	Otomatik	13 Eylül 2019	12263990	İSTANBUL / ÜMRANİYE / DUDULLU OSB	
1.6 HDi Active	 69.500 TL 	2017	1401 - 1600 cm3	28.300 km	Dizel	301	Galeriden	Peugeot	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12265117	ANKARA / ÇANKAYA / MUTLUKENT MAHALLESİ	
1.5 dCi SportTourer Joy	 63.950 TL 	2016	1461 cc	133.014 km	Dizel	Clio	Galeriden	Renault	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265364	İSTANBUL / SULTANGAZİ / CEBECİ MAHALLESİ	
1.4 Comfort	 35.000 TL 	2007	1388 cc	170.000 km	LPG & Benzin	Fiesta	Galeriden	Ford	Takasa Uygun Değil	Belirtilmemiş	Düz	13 Eylül 2019	11472293	DENİZLİ / SARAYKÖY / CUMHURİYET MAHALLESİ	
520d Comfort	 198.000 TL 	2014	1801 - 2000 cm3	231.000 km	Dizel	5 Serisi	Galeriden	BMW	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	14 Eylül 2019	12265409	İSTANBUL / SULTANGAZİ / CEBECİ MAHALLESİ	
1.6 TDi BlueMotion Comfortline	 126.750 TL 	2015	1401 - 1600 cm3	79.800 km	Dizel	Passat	Galeriden	Volkswagen	Takasa Uygun	3 değişen, 1 boyalı	Yarı Otomatik	14 Eylül 2019	12265290	İSTANBUL / MALTEPE / BAĞLARBAŞI MAHALLESİ	
1.6 TDi BlueMotion Comfortline	 96.000 TL 	2013	1598 cc	166.000 km	Dizel	Passat	Galeriden	Volkswagen	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	11856171	İSTANBUL / KARTAL / ORTA MAHALLESİ	
1.4 DOHC Start	 37.500 TL 	2008	1399 cc	108.000 km	Benzin	Getz	Galeriden	Hyundai	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12265506	KAYSERİ / KOCASİNAN / YILDIZEVLER MAHALLESİ	
1.6 CDTI Design	 94.500 TL 	2016	1598 cc	110.000 km	Dizel	Insignia	Galeriden	Opel	Takasa Uygun	1 değişen, 5 boyalı	Otomatik	14 Eylül 2019	11477558	İSTANBUL / BAĞCILAR / MAHMUTBEY MAHALLESİ	
1.4 CRDi Style	 85.000 TL 	2018	1201 - 1400 cm3	33.173 km	Dizel	i20	Yetkili Bayiden	Hyundai	Takasa Uygun	1 boyalı	Düz	13 Eylül 2019	12263809	İSTANBUL / ESENLER / TUNA MAHALLESİ	
1.6 TDI Prestige	 165.000 TL 	2016	1401 - 1600 cm3	90.000 km	Dizel	SuperB	Galeriden	Skoda	Takasa Uygun	3 boyalı	Yarı Otomatik	14 Eylül 2019	12172895	İSTANBUL / ESENYURT / TURGUT ÖZAL MAHALLESİ	
1.5 dCi Touch	 93.900 TL 	2018	1401 - 1600 cm3	42.700 km	Dizel	Clio	Yetkili Bayiden	Renault	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12264999	İSTANBUL / ATAŞEHİR / MERKEZ	
1.9 TDi Comfortline	 35.500 TL 	1998	1896 cc	236.500 km	Dizel	Passat	Galeriden	Volkswagen	Takasa Uygun	Belirtilmemiş	Düz	09 Eylül 2019	11969706	ELAZIĞ / MERKEZ / SÜRSÜRÜ MAHALLESİ	
1.5 dCi SportTourer Joy	 54.000 TL 	2013	1461 cc	144.000 km	Dizel	Clio	Galeriden	Renault	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12264410	İSTANBUL / BAHÇELİEVLER / BAHÇELİEVLER MAHALLESİ	
1.6 Classic	 44.750 TL 	2014	-	6.300 km	Elektrik	45	Galeriden	Rover	Takasa Uygun	Belirtilmemiş	Otomatik	11 Eylül 2019	11679489	İSTANBUL / KADIKÖY / GÖZTEPE MAHALLESİ	
1.6 Privilege	 32.000 TL 	2003	1598 cc	220.000 km	LPG & Benzin	Laguna	Galeriden	Renault	Takasa Uygun	Belirtilmemiş	Düz	12 Eylül 2019	8578849	DENİZLİ / SARAYKÖY / CUMHURİYET MAHALLESİ	
1.4 HDi Confort	 51.500 TL 	2011	1201 - 1400 cm3	150.000 km	Dizel	C3	Galeriden	Citroen	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12263881	MERSİN / ANAMUR / GÜZELYURT MAHALLESİ	
1.6	 21.500 TL 	1996	1598 cc	220.000 km	LPG & Benzin	Polo	Galeriden	Volkswagen	Takasa Uygun	Belirtilmemiş	Otomatik	14 Eylül 2019	12134837	ÇORUM / MERKEZ / MİMAR SİNAN MAHALLESİ	
4S	 1.680.000 TL 	2017	3501 - 4000 cm3	32.000 km	Dizel	Panamera	Galeriden	Porsche	Takasa Uygun	Belirtilmemiş	Otomatik	13 Eylül 2019	12264124	ANTALYA / MURATPAŞA / YEŞİLBAHÇE MAHALLESİ	
1.5 dCi Joy	 61.500 TL 	2016	1461 cc	74.871 km	Dizel	Clio	Galeriden	Renault	Takasa Uygun	2 değişen	Düz	13 Eylül 2019	12229466	İSTANBUL / MALTEPE / CEVİZLİ MAHALLESİ	
1.5 dCi Business	 42.450 TL 	2012	1461 cc	230.000 km	İyi Durumda	Dizel	Fluence	Galeriden	Renault	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12014704	İSTANBUL / MALTEPE / KÜÇÜKYALI MAHALLESİ	
1.5 dCi Laureate	 64.500 TL 	2016	1401 - 1600 cm3	156.000 km	Dizel	Lodgy	Galeriden	Dacia	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12161078	İSTANBUL / PENDİK / ORTA MAHALLESİ	
A5 Sportback 2.0 TFSI Quattro	 143.000 TL 	2010	1984 cc	133.300 km	Benzin	A5	Galeriden	Audi	Takasa Uygun	1 değişen	Yarı Otomatik	13 Eylül 2019	12264616	MUĞLA / ULA / KÖPRÜBAŞI MAHALLESİ	
C 180 Esprit	 44.000 TL 	1994	1601 - 1800 cm3	163.000 km	Benzin	C	Galeriden	Mercedes - Benz	Takasa Uygun Değil	Belirtilmemiş	Otomatik	13 Eylül 2019	12263765	GAZİANTEP / ŞEHİTKAMİL / AYDINLAR MAHALLESİ	
1.6 CRDi Premium	 89.500 TL 	2013	1582 cc	91.000 km	Dizel	Ceed	Sahibinden	Kia	Takasa Uygun Değil	1 değişen, 1 boyalı	Otomatik	13 Eylül 2019	12263661	İSTANBUL / ÜSKÜDAR / BURHANİYE MAHALLESİ	
1.6 Twinport	 37.750 TL 	2006	1401 - 1600 cm3	200.000 km	Benzin	Astra	Galeriden	Opel	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265468	KIRIKKALE / MERKEZ / YENİMAHALLE MAHALLESİ	
1.6 ES	 43.500 TL 	2006	1590 cc	242.000 km	LPG & Benzin	Civic	Sahibinden	Honda	Takasa Uygun Değil	3 boyalı	Otomatik	14 Eylül 2019	12264079	İSTANBUL / KAĞITHANE / TALATPAŞA MAHALLESİ	
1.6 e-HDi Confort	 57.500 TL 	2010	1401 - 1600 cm3	193.000 km	Dizel	C5	Galeriden	Citroen	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	11477866	AFYONKARAHİSAR / BOLVADİN / BADEMLİ MAHALLESİ	
1.5 T3 Advance	 169.950 TL 	2018	1401 - 1600 cm3	39.000 km	Benzin	S60	Yetkili Bayiden	Volvo	Takasa Uygun	Belirtilmemiş	Otomatik	13 Eylül 2019	12263918	ANKARA / YENİMAHALLE / İNÖNÜ MAHALLESİ	
1.6 CDTI Design	 106.500 TL 	2018	1401 - 1600 cm3	53.000 km	Dizel	Astra	Galeriden	Opel	Takasa Uygun	Belirtilmemiş	Otomatik	13 Eylül 2019	12264903	ANTALYA / KEPEZ / ALTINOVA DÜDEN MAHALLESİ	
1.6 TDCi Titanium	 52.000 TL 	2010	1560 cc	140.000 km	Dizel	Focus	Galeriden	Ford	Takasa Uygun Değil	Belirtilmemiş	Düz	13 Eylül 2019	12264317	ANKARA / ALTINDAĞ / ZÜBEYDE HANIM MAHALLESİ	
1.7 DTi Comfort	 26.750 TL 	2003	1686 cc	216.000 km	Dizel	Corsa	Galeriden	Opel	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265329	ANKARA / BEYPAZARI / KURTULUŞ MAHALLESİ	
1.6 Enjoy 111.Yıl	 52.900 TL 	2011	1401 - 1600 cm3	87.000 km	Benzin	Astra	Galeriden	Opel	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265248	DÜZCE / MERKEZ / AKINLAR MAHALLESİ	
1.6 FSi Comfortline	 65.000 TL 	2008	1598 cc	280.000 km	LPG & Benzin	Passat	Sahibinden	Volkswagen	Takasa Uygun	2 değişen	Otomatik	13 Eylül 2019	12263768	İZMİR / URLA / YELALTI MAHALLESİ	
1.3 Multijet Active Plus	 35.750 TL 	2011	1248 cc	263.000 km	Dizel	Linea	Galeriden	Fiat	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12264977	İSTANBUL / PENDİK / KAYNARCA MAHALLESİ	
1.6 TDCi Trend X	 72.500 TL 	2014	1401 - 1600 cm3	132.000 km	Dizel	Focus	Galeriden	Ford	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12264482	İSTANBUL / ŞİŞLİ / YAYLA MAHALLESİ	
1.4 TDCi Titanium	 52.000 TL 	2010	1398 cc	132.500 km	Dizel	Fiesta	Sahibinden	Ford	Takasa Uygun Değil	Tamamı orjinal	Düz	14 Eylül 2019	12265160	ANTALYA / MURATPAŞA / YILDIZ MAHALLESİ	
1.6 HDi Exclusive	 41.900 TL 	2013	1560 cc	222.000 km	Dizel	C-Elysee	Sahibinden	Citroen	Takasa Uygun	3 değişen	Düz	14 Eylül 2019	12265332	ÇANAKKALE / BİGA / GÜMÜŞÇAY BELDESİ	
1.3 Multijet Urban	 58.750 TL 	2015	1248 cc	119.000 km	Dizel	Linea	Sahibinden	Fiat	Takasa Uygun Değil	Tamamı orjinal	Düz	14 Eylül 2019	12265274	ANTALYA / DÖŞEMEALTI / YENİKÖY MAHALLESİ	
520d Comfort	 153.900 TL 	2011	1801 - 2000 cm3	225.000 km	Dizel	5 Serisi	Galeriden	BMW	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	10 Eylül 2019	12238521	İSTANBUL / BAĞCILAR / 100. YIL MAHALLESİ	
1.5 CRDi-VGT Team	 35.000 TL 	2007	1493 cc	177.000 km	Dizel	Accent Era	Sahibinden	Hyundai	Takasa Uygun	6 boyalı	Düz	14 Eylül 2019	12265707	İZMİR / BORNOVA / EVKA 3 MAHALLESİ	
1.2 Dynamic	 26.500 TL 	2005	1242 cc	130.000 km	Benzin	Palio	Galeriden	Fiat	Takasa Uygun	1 değişen	Düz	10 Eylül 2019	12231085	MANİSA / GÖRDES / ATATÜRK MAHALLESİ	
1.6 Enjoy	 41.000 TL 	2004	1598 cc	220.000 km	LPG & Benzin	Astra	Sahibinden	Opel	Takasa Uygun Değil	1 değişen	Otomatik	14 Eylül 2019	12264450	ANKARA / ÇANKAYA / ALACAATLI MAHALLESİ	
1.5 dCi Authentique	 34.800 TL 	2011	1461 cc	180.000 km	Dizel	Symbol	Galeriden	Renault	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12263670	KOCAELİ / GEBZE / MUSTAFAPAŞA MAHALLESİ	
1.2 TCe Touch Roof	 149.900 TL 	2018	1.000 km	Benzin	Kadjar	Galeriden	Renault	Takasa Uygun Değil	Tamamı orjinal	Yarı Otomatik	14 Eylül 2019	10662158	İSTANBUL / KAĞITHANE / MERKEZ MAHALLESİ	
1.4 Team	 46.900 TL 	2010	1399 cc	169.000 km	Benzin	Accent Era	Galeriden	Hyundai	Takasa Uygun	Belirtilmemiş	Düz	12 Eylül 2019	12187279	ANKARA / AKYURT / SARACALAR MAHALLESİ	
2.0 T Cosmo	 66.000 TL 	2009	1998 cc	142.000 km	Benzin	Insignia	Sahibinden	Opel	Takasa Uygun Değil	4 boyalı	Otomatik	14 Eylül 2019	12265731	ADANA / ÇUKUROVA / YURT MAHALLESİ	
Toros	 19.250 TL 	1993	1401 - 1600 cm3	315.000 km	LPG & Benzin	R 12	Sahibinden	Renault	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12264434	ANKARA / YENİMAHALLE / KUZEY YILDIZI MAHALLESİ	
